Index,Time,mtr.state.i_dq.v1,mtr.state.i_dq.v2,mtr.state.pos_spd_e.v1,mtr.state.pos_spd_e.v2
11600,11.599984,0.0524010882,0.00133741368,4.59122562,0.0163069349
11601,11.600985,0.0448029786,0.0130384257,4.59122562,0.00195752527
11602,11.601984,0.0517971516,0.000461674761,4.59122562,0.000234986233
11603,11.602985,0.0533139706,-0.000584373251,4.59122562,2.82083347e-05
11604,11.603984,0.0516636409,-0.00784574822,4.59122562,3.38619907e-06
11605,11.604995,0.0423872396,0.00953546818,4.59122562,4.064878e-07
11606,11.605984,0.0496765077,0.000622889493,4.60171032,9.42686272
11607,11.606985,0.0469516851,-8.22283328e-05,4.60193348,1.13162422
11608,11.607983,0.0508847088,0.00237394683,4.60193729,0.135843009
11609,11.609000,0.0515015721,-0.00322122127,4.60193729,0.0163069349
11610,11.609983,0.053301096,0.00587645173,4.60193729,0.00195752527
11611,11.610984,0.052401334,0.00132761523,4.60193729,0.000234986233
11612,11.611983,0.0495286733,-0.00121391402,4.60193729,2.82083347e-05
11613,11.612985,0.0525613278,-0.00331619009,4.6124239,9.42833519
11614,11.613983,0.0533137508,-0.000604307745,4.61264896,1.13180101
11615,11.614985,0.043166358,-0.000709881308,4.61265278,0.135864228
11616,11.615984,0.0475559272,0.000784501201,4.61265278,0.0163094811
11617,11.616985,0.0478522778,0.00445765629,4.61265278,0.00195783097
11618,11.617984,0.0487649143,0.00252660573,4.62313747,9.42709732
11619,11.618984,0.0517973974,0.000432621688,4.62336063,1.13165236
11620,11.619995,0.0534621514,0.00122226961,4.62336445,0.135846376
11621,11.620984,0.0520944372,0.00410571881,4.62336445,0.0163073391
11622,11.621985,0.0539180636,0.000261123758,4.62336445,0.0019575737
11623,11.622984,0.048170846,-0.00481978478,4.62336445,0.00023499204
11624,11.623984,0.0502811633,0.0014795172,4.62336445,2.82090332e-05
11625,11.624984,0.0498348661,-0.00403925683,4.63385105,9.42833519
11626,11.625984,0.0490722619,-0.000280461274,4.63407612,1.13180101
11627,11.626984,0.0516486168,-0.00141359097,4.63407993,0.135864228
11628,11.627985,0.0487653986,0.00251729274,4.63407993,0.0163094811
11629,11.628983,0.0471004918,0.00172795099,4.63407993,0.00195783097
11630,11.629986,0.0528499037,0.0067981123,4.64456463,9.42709732
11631,11.630995,0.0512007363,-0.00693272054,4.64478779,1.13165236
11632,11.631984,0.0517975613,0.000413249247,4.6447916,0.135846376
11633,11.632985,0.0495277531,-0.00125095691,4.6447916,0.0163073391
11634,11.633984,0.0493779816,-0.00309648807,4.65527821,9.42882061
11635,11.634985,0.0474002324,0.00538327172,4.65549946,1.13185918
11636,11.635984,0.0557396673,-0.00361473742,4.65550518,0.135871217
11637,11.636985,0.0549784824,0.000144533813,4.65550518,0.0163103212
11638,11.637984,0.0530078597,0.0021439828,4.66599178,9.43028927
11639,11.638985,0.0511926301,-0.000481068157,4.66621494,1.13203549
11640,11.639984,0.0518032201,-0.00607692311,4.66621876,0.135892376
11641,11.640985,0.0493768156,-0.00311495597,4.67670536,9.44317532
11642,11.641982,0.0507375374,0.000470936298,4.67692661,1.13358235
11643,11.642999,0.0390575677,0.0273082666,4.67693233,0.13607806
11644,11.643983,0.0466424637,0.00912509579,4.67693233,0.0163351502
